,Database,Batch Size,Window Size,Training Time in Hours,Model Name
0,fantasia,256,1024,8.90733055556,ecg_1
1,fantasia,256,1024,6.954305,ecg_2
2,fantasia,256,1024,8.376565,ecg_3
3,fantasia,256,1024,19.2088575,ecg_4
4,fantasia,256,1024,6.24395916667,ecg_5
5,fantasia,256,1024,41.0914397222,ecg_6
6,fantasia,256,1024,3.95272277778,ecg_7
7,fantasia,256,1024,14.8157027778,ecg_8
8,fantasia,256,1024,17.7438452778,ecg_9
9,fantasia,256,1024,15.5211983333,ecg_10
10,fantasia,256,1024,6.46673,ecg_11
11,fantasia,256,1024,12.6237605556,ecg_12
12,fantasia,256,1024,6.328185,ecg_13
13,fantasia,256,1024,9.81433555556,ecg_14
14,fantasia,256,1024,10.4533519444,ecg_15
15,fantasia,256,1024,10.785715,ecg_16
16,fantasia,256,1024,3.3030225,ecg_17
17,fantasia,256,1024,6.37119166667,ecg_18
18,fantasia,256,1024,8.040185,ecg_19
19,fantasia,256,1024,8.10191444444,ecg_20
20,fantasia,256,1024,44.9561288889,ecg_21
21,fantasia,256,1024,7.43193861111,ecg_22
22,fantasia,256,1024,9.251025,ecg_23
23,fantasia,256,1024,11.1283788889,ecg_24
24,fantasia,256,1024,9.04314277778,ecg_25
25,fantasia,256,1024,28.5033094444,ecg_26
26,fantasia,256,1024,6.30622722222,ecg_27
27,fantasia,256,1024,6.16162166667,ecg_28
28,fantasia,256,1024,26.0894877778,ecg_29
29,fantasia,256,1024,15.0396655556,ecg_30
30,fantasia,256,1024,7.98714361111,ecg_31
31,fantasia,256,1024,3.46557416667,ecg_32
32,fantasia,256,1024,14.8548575,ecg_33
33,fantasia,256,1024,53.5875686111,ecg_34
34,fantasia,256,1024,11.7131133333,ecg_35
35,fantasia,256,1024,4.98303722222,ecg_36
36,fantasia,256,1024,5.60281277778,ecg_37
37,fantasia,256,1024,16.8649486111,ecg_38
38,fantasia,256,1024,3.51055361111,ecg_39
39,fantasia,256,1024,6.232905,ecg_40
40,cybhi,12,512,0.745074166667,ecg_cybhi_AA
41,cybhi,12,512,0.279126111111,ecg_cybhi_ABD
42,cybhi,12,512,0.278966111111,ecg_cybhi_AC
43,cybhi,12,512,0.519255,ecg_cybhi_ACA
44,cybhi,12,512,0.713602222222,ecg_cybhi_AFS
45,cybhi,12,512,0.469522222222,ecg_cybhi_AG
46,cybhi,12,512,0.395237222222,ecg_cybhi_AL
47,cybhi,12,512,0.482024166667,ecg_cybhi_AR
48,cybhi,12,512,0.469196111111,ecg_cybhi_ARA
49,cybhi,12,512,0.404547222222,ecg_cybhi_ARF
50,cybhi,12,512,0.429869444444,ecg_cybhi_ARL
51,cybhi,12,512,0.626074722222,ecg_cybhi_CB
52,cybhi,12,512,0.401059444444,ecg_cybhi_CSR
53,cybhi,12,512,1.61833527778,ecg_cybhi_DB
54,cybhi,12,512,0.450449722222,ecg_cybhi_DC
55,cybhi,12,512,0.895733888889,ecg_cybhi_DS
56,cybhi,12,512,0.910563055556,ecg_cybhi_FM
57,cybhi,12,512,2.72148194444,ecg_cybhi_FO
58,cybhi,12,512,1.49119472222,ecg_cybhi_GF
59,cybhi,12,512,3.2748825,ecg_cybhi_HF
60,cybhi,12,512,1.081125,ecg_cybhi_IB
61,cybhi,12,512,4.64907833333,ecg_cybhi_IC
62,cybhi,12,512,3.43690305556,ecg_cybhi_JA
63,cybhi,12,512,0.632206111111,ecg_cybhi_JC
64,cybhi,12,512,2.26546027778,ecg_cybhi_JCC
65,cybhi,12,512,0.398817777778,ecg_cybhi_JL
66,cybhi,12,512,6.914925,ecg_cybhi_JM
67,cybhi,12,512,0.577758888889,ecg_cybhi_JN
68,cybhi,12,512,2.95087888889,ecg_cybhi_JP
69,cybhi,12,512,3.172355,ecg_cybhi_JPA
70,cybhi,12,512,0.427495,ecg_cybhi_JS
71,cybhi,12,512,4.96810444444,ecg_cybhi_JSA
72,cybhi,12,512,1.93040555556,ecg_cybhi_JV
